Gene	Beta_Untreated_day14	Beta_5d-release_etoposide	Depmap
ST3GAL3	-0.231668089	-0.203095695	-0.110749441
BPNT1	-0.246746927	-0.218213217	-0.310557489
ACOT13	-0.050488198	-0.021991181	-0.020132213
MAN1C1	-0.591879167	-0.563410785	-0.098207307
DAD1	-1.295541442	-1.26709745	-1.486592858
INMT	-0.333276456	-0.304841712	-0.133620577
OTC	-0.115380289	-0.087122504	0.024888576
CYP3A43	-0.019759219	0.008394896	-0.102640685
KCTD10	-0.264290454	-0.236246665	-0.521649317
NDUFA11	-0.301134389	-0.273148705	-0.658442847
G6PC	-0.128618826	-0.100663161	-0.293409924
CHKB	-0.141169779	-0.113619217	-0.155549133
PIK3C2G	0.065210604	0.092603314	0.079162666
GIP	0.033323854	0.060603144	-0.100579497
STS	0.054905678	0.082183831	-0.068674528
PLCXD3	0.019696022	0.046783634	0.118919581
HYAL1	-0.049598382	-0.022606923	-0.085787456
VDAC3	-0.294966348	-0.268095376	0.006159459
SLC4A3	-0.140436692	-0.113603646	0.03410961
ST6GAL1	-0.161026322	-0.134387408	0.115748629
OXCT2	-0.11434512	-0.087719845	0.115076972
PLA2G2A	0.034932853	0.061540204	0.08981005
EPN2	-0.155111069	-0.128660302	-0.018794528
STARD5	-0.062180933	-0.035772473	0.174446976
SULT1B1	-0.155288021	-0.128882535	-0.048396684
CEPT1	-1.00177584	-0.975462337	-0.329936965
CYB5R4	-0.370436376	-0.344150099	-0.481353696
KCTD11	-0.215641293	-0.189393671	-0.151334838
GSTP1	-0.367440832	-0.341290793	-0.233166539
NAT9	-0.281277846	-0.255186032	-0.032685839
LYZL1	0.286915031	0.312980827	-0.025192303
SLC25A43	-0.177811483	-0.151755572	0.111686913
ACOT12	-0.197465795	-0.171473463	-0.487968424
MANBAL	0.01109805	0.037083224	-0.091920958
MMAA	-0.084499637	-0.058577566	-0.005866396
KCNG3	-0.333200619	-0.307290524	-0.096697636
GLB1	0.021258255	0.047162988	-0.139066919
CERS3	-0.012937719	0.012959453	0.085137486
MAOB	-0.110397826	-0.084741636	-0.066548517
LTC4S	0.107294846	0.132770909	-0.034119248
ALDH7A1	-0.192372105	-0.166901403	-0.155784356
ASNS	-0.262293424	-0.236827019	-0.306755809
ENTPD2	-0.271532847	-0.246098533	-0.146660434
KCNJ16	0.069903624	0.095212077	-0.039848258
AKR7A2	-0.206237558	-0.181226246	-0.072571329
ETFA	-0.200423421	-0.175451013	0.051560305
B3GNTL1	0.018913641	0.043382192	0.093663028
ABHD3	-0.400315986	-0.375871416	-0.047139177
PLA2G4D	-0.331380542	-0.307092354	-0.274051805
SLC25A1	-0.258362562	-0.234236657	-0.330381992
SLC39A6	-0.116908396	-0.092909061	-0.114675539
CYP4X1	0.052933927	0.076810599	-0.146984551
NAT14	-0.314367871	-0.290531024	-0.089610709
DHTKD1	0.001233899	0.025068475	0.178327917
MAOA	-0.021690524	0.002038176	0.097399104
TP53I3	-0.301854836	-0.278173724	-0.326221011
MGAT4A	-0.302474168	-0.278895628	-0.16385524
LYZL6	0.06464815	0.088106276	0.087670104
SLC26A1	-0.003021329	0.020428471	-0.049249337
ABHD10	-0.114046829	-0.090773074	0.030727118
APOA2	-0.101710747	-0.078553078	0.003294924
DHRS7B	-0.476089361	-0.452945298	-0.208219079
ME3	0.003856163	0.026941179	0.025201634
SLC25A41	-0.338673492	-0.315627809	-0.111591263
TXNRD3	-0.122885582	-0.099922855	
BEST3	-0.303952981	-0.280990566	-0.145869983
ABHD5	-0.126849306	-0.103949948	-0.026693337
SLC2A4	-0.125752204	-0.102952022	-0.04293805
SLC3A2	-0.425620122	-0.402992363	-0.467608012
FUT9	-0.29912472	-0.276517591	0.030834876
GOT2	-0.059051411	-0.03655949	-0.167975817
B4GALT7	-0.188112617	-0.16564161	-0.19173719
ACSL6	-0.228508231	-0.206039931	-0.051534407
LYPLA1	-0.605934212	-0.583694875	-0.082493579
GRID2	-0.19424274	-0.172308607	-0.211391839
PDHA2	-0.111329352	-0.089404288	-0.189968663
DUOX1	-0.036458432	-0.014622097	-0.064582508
LPPR2	-0.387904067	-0.366146943	
LNPEP	0.135229248	0.156922141	-0.10680899
KCNF1	-0.048033621	-0.026445755	0.08566534
LCAT	0.014608652	0.036048495	-0.075808685
COQ10B	-0.186684362	-0.16535851	0.109374225
PIK3CA	-0.172224855	-0.150906273	-0.477161811
GALM	-0.167560906	-0.146320058	-0.04830312
ACACA	-0.393768762	-0.37278563	-0.389114313
MOGAT1	-0.067856037	-0.046892627	0.037724227
PLCG2	-0.024099599	-0.003162365	0.039111631
SLC25A15	0.008373874	0.029296568	0.002057552
GRIN2A	-0.49733624	-0.476626584	-0.221993628
HTR3C	-0.047841502	-0.027152088	0.003640427
CYB5R3	-0.102543685	-0.081893654	-0.116423938
CYP1A2	-0.007439821	0.013205042	-0.191924215
HSD3B1	-0.040672418	-0.020107153	-0.283493806
XYLT1	-0.112010617	-0.09157	0.05547684
DGKZ	-0.250576674	-0.230230797	-0.153490457
GART	-0.439738364	-0.419426299	-0.30701842
AKR1B15	-0.172237495	-0.151982051	0.080337588
VDAC2	-0.617726799	-0.597637533	-0.002962207
SIRT3	-0.013038835	0.007019598	0.027665826
SLC51A	0.067135589	0.086965384	-0.029183407
CYP2S1	-0.100163681	-0.080506465	-0.179752247
UAP1L1	-0.012458306	0.007189316	0.005843817
UPP1	-0.240136506	-0.220605409	0.146299991
SLC5A11	-0.159395835	-0.140057894	0.01326491
UST	-0.113532404	-0.094219813	0.031746956
MOCS2	-0.145985401	-0.126688513	0.02145861
NUDT10	-0.274642146	-0.255384202	-0.092735181
SUMF1	-0.136088729	-0.116908835	0.170727373
HYAL4	0.097192151	0.116304417	0.034945347
HNF4A	-0.186393655	-0.167368518	0.058988661
ATP9A	-0.439068474	-0.420049118	-0.058102122
CA5B	0.017139065	0.036139087	-0.082900513
GABRG1	-0.09341549	-0.074480689	0.139751013
ATP6V1H	-0.622441306	-0.603596781	-0.717827471
SLC25A35	-0.049190129	-0.030366685	0.076982622
HYI	-0.125341423	-0.106565789	-0.251166654
PPOX	-0.418162859	-0.399425308	-0.123169567
DUT	-0.448851392	-0.43025486	-1.555754989
NDUFB5	-0.220444276	-0.201892521	-0.349468901
SUCLG1	-0.351704743	-0.333250763	-0.227565727
SLC7A5	0.015576832	0.033885614	-0.591735765
SLC25A19	-0.270256264	-0.252114401	-0.334687682
SLC39A3	-0.166891017	-0.148754715	0.106776516
ABCB11	-0.002584637	0.015440255	0.006706528
LPCAT1	0.18826429	0.206280566	0.0465611
PNPLA3	-0.049235631	-0.031360365	0.049418703
SLC1A4	-0.10525737	-0.087411266	0.033049959
ALKBH1	-0.106474547	-0.088631425	-0.231513252
GNMT	-0.281088255	-0.263268527	-0.068843532
ABCA9	-0.053964041	-0.036239587	0.159801449
IPPK	-0.323733687	-0.306101505	-0.45712238
AOC2	-0.050019275	-0.032389432	-0.213719608
SLC35E3	-0.267222802	-0.249708053	-0.138868289
UPRT	-0.193598129	-0.176087987	-0.055092245
SLC9A5	-0.176598098	-0.159144473	-0.087214066
CYP2R1	-0.423243909	-0.40596491	0.163546929
SLC16A5	-0.123119411	-0.106210499	-0.420776314
P4HA2	-0.087881948	-0.070991486	0.04716158
TRPM3	0.035758208	0.052642381	0.174960669
RSAD1	-0.216665087	-0.199981599	-0.400889242
B3GALT5	-0.284993838	-0.268321856	0.260750731
ASNA1	-0.783202199	-0.766704649	-0.879553328
PDSS2	-0.003648245	0.012831917	-0.224003215
ALAS2	-0.003377129	0.013017913	0.130602931
PIGN	-0.062172086	-0.045799863	-0.059883202
SLCO5A1	-0.172578759	-0.156511646	0.08393095
KCNQ5	-0.323645211	-0.307658554	-0.030128244
NAALAD2	-0.313141846	-0.297183866	0.059168802
BDH2	-0.108179606	-0.092306059	-0.226514154
ATP5J	-0.281088255	-0.26540593	
CYBRD1	-0.250045818	-0.234378207	-0.188958057
GBA3	-0.284930641	-0.26938348	
EPX	-0.129174961	-0.113651773	-0.137982827
PDK3	0.043932126	0.059414125	-0.179948602
GBA	-0.069275445	-0.053800259	0.114153539
KDM4A	-0.448623882	-0.433184942	-0.310799663
CYP3A5	-0.181805542	-0.166462599	-0.015438277
KCNMA1	-0.180857585	-0.165684075	-0.040034086
KCNJ1	0.114975827	0.130114018	0.105959842
APOL1	-0.007767435	0.007209699	-0.016966843
ARSE	-0.337599141	-0.322634525	0.053384923
NADK	-0.2128227	-0.197858351	0.018500797
PON1	-0.361133757	-0.346174262	-0.287203642
PYGL	-0.077564382	-0.062733469	-0.158643814
FOLR2	0.010643663	0.025449244	0.228452464
SOD1	-0.854122034	-0.839503726	-1.55480271
HSDL2	-0.071051284	-0.056433086	-0.054943882
ACADS	-0.069896041	-0.055588033	-0.155570552
TRPC7	0.005244605	0.019546616	-0.159230903
COX6B1	-0.488286409	-0.474036223	-0.318596153
SFXN4	-0.032235599	-0.018111301	-0.208553758
NDUFAF1	-0.262571492	-0.24850488	-0.412523691
ADH1C	0.002584384	0.016554253	
ST8SIA1	0.28783771	0.301571911	0.011020275
LPCAT2	-0.135355642	-0.12163943	0.142643788
CLCN2	0.020903087	0.034546651	-0.110812724
HSD17B7	-0.307947041	-0.29440949	0.18439319
INPP5B	-0.294435492	-0.280919791	-0.021909925
P2RX5	-0.378626726	-0.365127784	0.167913704
UROD	-0.511985338	-0.498580963	-0.722602255
PTGR1	-0.214402629	-0.201029067	-0.147885262
CLYBL	-0.05536449	-0.041997834	0.117798987
LOX	-0.222946883	-0.209621142	0.180890921
SLC5A9	-0.386766518	-0.373549999	-0.18801894
L2HGDH	-0.045351534	-0.032177107	0.061461076
PGAM4	0.00296205	0.016081476	0.147879627
SLC22A11	-0.268423547	-0.255341737	-0.118983396
DHFR	-1.142111417	-1.129072212	-0.689569447
CHRNG	-0.165740829	-0.152718111	-0.352988257
B3GALT1	-0.224172907	-0.211192345	-0.071337591
GDPD2	-0.31681992	-0.303964103	0.133372969
TRPC1	-0.289544033	-0.276744071	-0.167143585
KDM3B	-0.193383259	-0.180631737	0.068465946
MGAT4C	-0.092026416	-0.079350003	0.026454051
P2RX7	-0.043667962	-0.030993751	-0.200901631
SLC6A13	-0.197086612	-0.184425272	0.055605911
NAGLU	-0.11451196	-0.101983821	-0.524384554
CACNB2	-0.057135273	-0.044726915	0.022108641
GGTLC2	-0.35773375	-0.345395738	-1.196472075
PLA2G15	-0.152178722	-0.139858309	-0.060358997
FUT1	-0.396195532	-0.383925601	-0.123143594
RDH16	-0.110233513	-0.09818887	-0.03276259
GAL3ST1	-0.134041141	-0.122088143	-0.041060585
STEAP4	-0.065061459	-0.053137806	0.191752536
KYNU	-0.137036686	-0.125155528	-0.023812425
PIGP	0.098397952	0.110278641	-0.170713831
PRG3	-0.182184725	-0.170369374	-0.085398187
FAHD2A	-0.147401017	-0.135604736	-0.354937428
PGM5	-0.224981831	-0.213202353	-0.360235015
ASPH	-0.116893228	-0.105137551	0.210914915
PLIN5	-0.29358865	-0.281896485	-0.038248005
SLC27A2	-0.129579423	-0.117889775	-0.231679934
AGL	-0.026260941	-0.014663147	-0.129492122
ST6GALNAC5	-0.089052359	-0.077556567	0.109231024
ABO	0.103998483	0.115384343	
STEAP2	0.027973584	0.039226289	-0.232809997
GDPD1	-0.320813979	-0.309569476	-0.119565836
SLC29A2	-0.077944829	-0.066706772	-0.191846129
CYP20A1	-0.013201883	-0.002011848	0.089137122
NAT1	-0.033285935	-0.022124238	0.076041923
AGK	-0.26437893	-0.253289264	0.162112209
TET1	-0.203229374	-0.192139738	0.108182269
B3GAT1	0.265352166	0.276432661	0.090364818
CA4	-0.076832559	-0.065765466	-0.16441703
PYCR2	-0.420463235	-0.409461191	-0.080238943
CATSPER2	-0.283161121	-0.272242786	-0.008853771
SLC25A29	-0.038643789	-0.027742351	-0.142988418
DHRS4L1	-0.008536923	0.0023619	
CACNG6	0.199829368	0.210725231	0.101680283
KCNE2	-0.213378835	-0.202586115	-0.129742304
CUBN	-0.041846621	-0.031283928	-0.195347512
UGT3A2	0.041330932	0.051831301	-0.127270069
ABHD14A	0.186659083	0.197037362	-0.033148257
UGP2	-0.406433469	-0.396098887	-0.406156168
NUDT8	-0.242993017	-0.232693764	-0.120233464
ENTPD5	-0.142180933	-0.131927272	-0.026335118
SIRT4	-0.155894714	-0.145768014	-0.097619845
CPT1A	-0.444857332	-0.43499678	-0.260226563
GCNT2	-0.132435934	-0.122928949	-0.133787659
ELOVL5	-0.08695295	-0.077454651	0.039424742
PGK2	-0.313255601	-0.303879173	0.180336726
ULK1	-0.181754985	-0.172421847	-0.089131921
DMAC2L	-0.061145764	-0.051863857	0.137308673
MANEAL	0.196138655	0.205261407	-0.024281104
GALC	-0.059550668	-0.050431373	-0.196182407
ASMTL	-0.088809682	-0.079807209	-0.10580944
ARSB	-0.123606029	-0.114628467	-0.292937905
DERA	0.071448163	0.080311127	0.040806636
ABCB5	0.114410845	0.123187985	-0.019556865
NAT10	-0.756975385	-0.748274861	-1.053724816
COQ6	-0.327854141	-0.31920902	-0.229052191
MFSD2A	-0.160381711	-0.151741417	-0.08360431
KDM4E	-0.079625873	-0.071171254	0.025825255
MAN2A2	-0.100732455	-0.092279165	0.217457468
GPT2	-0.041180523	-0.032731982	-0.1309092
CBR3	-0.101210225	-0.092872258	-0.015020485
QSOX2	-0.195317092	-0.187015634	-0.174521917
CHST4	0.167093247	0.175295308	-0.334595313
SLC7A4	-0.068654849	-0.060584742	0.085547588
JMJD6	-0.208500016	-0.200434558	-0.568797808
KCNH2	-0.110610168	-0.102565591	0.069810216
SDHC	-0.453439505	-0.445414847	-0.744600838
PCCA	-0.085556293	-0.077577799	0.166256224
B3GALT4	-0.324226625	-0.316562038	0.008770889
GLDC	-0.030179164	-0.022707424	0.067155393
SLC17A5	-0.399494423	-0.392149646	-0.079660906
EXTL3	-0.540348216	-0.533048346	-0.086396271
NANS	-0.219812304	-0.212777703	0.0649387
AGPAT5	-0.351237084	-0.344220874	0.107502187
CACNA1E	-0.202508927	-0.195536934	-0.007302415
ATP5MF	-0.429803773	-0.422993354	
TRPM2	-0.284336588	-0.277550905	-0.216365993
SLC28A1	-0.30287863	-0.296122242	0.059045338
HEPHL1	-0.034458874	-0.027779154	0.078905121
TPMT	-0.036763042	-0.030160022	-0.151075512
SLC22A9	-0.062102569	-0.055627667	-0.193117937
SLC22A18AS	-0.283944766	-0.277494285	
HPSE2	0.099933643	0.10631383	-0.161747703
HPSE	-0.245482984	-0.239120126	-0.117226287
FLVCR2	-0.41924985	-0.413056556	-0.083149865
KCNB2	-0.08483079	-0.078739923	0.181002024
AQP1	-0.056052074	-0.050081745	0.10534225
ALG8	-0.461212753	-0.45528087	-0.437547112
PIK3C3	-1.079622081	-1.073811158	-0.985839859
NADSYN1	-0.406585142	-0.400784186	0.017204044
NRF1	-0.836565867	-0.830812567	-1.063818362
HSDL1	0.109050463	0.114694996	-0.118351917
ATP1A4	-0.009516731	-0.003887666	0.009537737
FCER1A	-0.255468133	-0.249948688	0.043480336
ASPDH	-0.222504503	-0.217024198	0.03993174
PNLIPRP2	0.198476949	0.203902529	
ADCY7	-0.271545486	-0.266212764	0.173454367
ATP5G1	-0.164881347	-0.159554967	
ST8SIA5	-0.310904667	-0.305620236	-0.140750209
ADAM8	-0.134369766	-0.129205268	
DPYS	0.02548488	0.03059458	0.029617337
PHYH	-0.196694789	-0.191601849	0.015807009
ALG3	-0.052118684	-0.047059656	0.010767371
PCTP	0.095557873	0.100464991	-0.051325596
SLC12A4	-0.186924511	-0.18203308	-0.15635947
ADSS1	-0.144569785	-0.139698357	-0.23301768
MTHFD2L	-0.154693968	-0.149872959	-0.210264786
TRPM1	-0.245988561	-0.241399079	-0.05554226
SIRT5	-0.058743009	-0.054193768	-0.023446254
UQCRQ	-0.260485986	-0.256063641	-0.59268761
KCNH7	-0.050523588	-0.046109857	0.139059124
SCCPDH	-0.036199324	-0.031862867	0.166665462
ACSM1	-0.081210857	-0.076921008	0.103804322
UAP1	-0.443745063	-0.439469754	-0.380387876
TPCN2	-0.176636016	-0.172393537	0.047557546
KCNN4	-0.310929946	-0.306696015	-0.151052292
GALE	-0.034784972	-0.030581841	-0.215791813
KCNA3	-0.216399659	-0.212282279	-0.148935548
SLC4A1AP	-0.412449837	-0.408484497	-0.313072743
GRIN3A	-0.133876829	-0.129952652	-0.084685544
RYR2	-0.279824312	-0.275993857	-0.112684694
CIDEA	-0.018644421	-0.014817436	-0.000871904
SPHK2	-0.399570259	-0.395745012	-0.262719201
SVOP	-0.184813726	-0.181042231	-0.030250674
NPR2	-0.228154327	-0.224384789	-0.054723543
LMF1	-0.385414099	-0.381703269	-0.059484188
GNPDA1	0.087385218	0.091064667	0.077839693
KCNJ13	0.02403261	0.027685731	-0.055000886
FTH1	-0.801428255	-0.797803147	-0.325955169
PIGX	0.056818024	0.060276164	-0.272176455
MSRB1	-0.395715234	-0.392333661	-0.448641951
RPE	-0.5101779	-0.506889938	-1.014669937
GALNT1	-0.04221822	-0.038934696	0.023249293
ACSS1	-0.087721427	-0.084591593	0.070130073
PISD	-0.683793093	-0.680798058	-0.032059282
FUT2	-0.132587607	-0.129629918	-0.283218493
PNLIPRP3	0.170114071	0.173044666	0.053383301
ALG2	-1.270641767	-1.267734424	-1.425402929
ACE2	-0.060568142	-0.057726851	0.194546241
GABRB3	0.021791639	0.024571635	0.10533807
KCTD21	-0.380825987	-0.378051284	-0.267484678
HTR3E	0.012459064	0.015227931	0.094643902
SFXN3	-0.142307328	-0.139583702	0.209717906
DOLPP1	-0.446437261	-0.443772869	-0.451079299
SLCO1B1	0.061823238	0.06435563	0.181476036
ATP13A4	0.038868771	0.041392001	-0.058122131
HIBADH	-0.264328372	-0.261853029	-0.035294533
CATSPER1	-0.010679812	-0.008287601	-0.157228437
FRRS1	-0.273251809	-0.270912218	-0.023484164
CBS	-0.002202041	8.95798E-05	0.029360558
GFOD1	0.140196543	0.142441593	0.236919665
PIGY	-0.327348564	-0.325139957	-0.196511052
HKDC1	0.045773691	0.047908955	-0.121836902
ABHD4	-0.086818972	-0.084886017	0.053788236
ALKBH7	-0.240578886	-0.238766252	-0.143556296
ST6GALNAC2	-0.024203242	-0.022499345	-0.058743128
NAA60	-0.311928461	-0.310362155	0.009377161
CHI3L2	-0.114867128	-0.113387075	-0.11337931
DHRS7C	-0.194735678	-0.193286292	0.068287587
A4GNT	0.008406231	0.009774299	0.104758233
GABRG3	-0.482042532	-0.480689065	0.122583306
KCNMB3	0.194419692	0.195749259	0.103017287
GABRA1	-0.105636553	-0.104448203	0.180791457
SMPDL3A	-0.179985465	-0.178918984	0.037754583
SLC3A1	-0.030693589	-0.029681584	-0.01937456
DGAT2L6	-0.146882801	-0.145923719	0.131901254
SLC13A3	-0.285335103	-0.284614241	-0.002491104
TKTL1	-0.109715297	-0.108997615	-0.04445402
COX4I2	-0.451809018	-0.45113346	-0.195463223
NMNAT1	-0.033019244	-0.032417742	-0.420995367
SLC23A2	-0.205946851	-0.205388802	-0.00194109
NOS1	-0.117244605	-0.116847968	-0.018984099
ADC	-0.113052106	-0.112684988	
SLC38A3	-0.349505482	-0.349175118	
UGT1A7	-0.128960091	-0.128644731	-0.194277562
NMNAT3	-0.073201251	-0.072932134	-0.031192825
CANT1	-0.273656271	-0.27338934	-0.180417079
KCTD1	-0.024820046	-0.024565973	0.152427711
CA11	-0.046601574	-0.046351907	-0.172001568
PIK3C2B	-0.123654059	-0.123514965	0.086657268
LOXL4	-0.009322463	-0.009276751	-0.165990883
SLC4A4	-0.370891396	-0.370860552	0.092388528
SLC27A1	-0.127607672	-0.127577445	-0.017951729
STARD8	-0.607387746	-0.607432782	-0.102831962
GDPD5	-0.170253105	-0.170298599	-0.037815985
KCNC3	-0.575776535	-0.57583886	-0.022449538
CES3	0.140752678	0.14067222	-0.021729171
GALNT8	-0.009059184	-0.009204844	0.021341761
CHST11	-0.002115461	-0.002270318	0.030596991
GALNT3	-0.149739312	-0.149901269	0.157386202
GFPT2	-0.053471103	-0.05363323	-0.131133212
MTHFD1L	-0.303245173	-0.303440369	-0.110646622
BEST2	-0.421196322	-0.421407996	-0.066786472
SLC25A34	-0.279053307	-0.279277813	-0.186375
HADHB	0.120091004	0.119782296	-0.02394519
EBPL	-0.112279837	-0.112754347	0.022490046
HGSNAT	-0.079368029	-0.079934604	0.161399612
PLCD3	-0.418175498	-0.418775169	
ALOX5AP	0.01636806	0.015695045	0.187226327
DIO1	0.159711821	0.158974613	-0.007947558
UGT2B10	-0.107762505	-0.108506437	-0.252916892
GALNT16	-0.102341454	-0.103097818	-0.124415846
KCNK1	-0.161076879	-0.161848075	0.018735156
COX7B2	-0.170151989	-0.170935574	0.16181631
ASAH1	-0.161873163	-0.162697374	0.015700222
KCNMB2	0.136531109	0.135648617	0.013469681
SLC25A4	0.07747717	0.076577042	0.043747764
KCNJ2	0.040238885	0.039280078	0.008545136
FMO2	-0.132233703	-0.133235192	0.134263
CYP11A1	-0.233804152	-0.234958561	-0.05531349
FMO5	-0.360893608	-0.362112773	0.009739139
IPMK	-0.051967011	-0.053218489	-0.071730884
NXNL2	-0.162656808	-0.163928857	-0.145610878
GLB1L	-0.044887667	-0.046193371	0.024928593
GMPPA	-0.062638481	-0.063953628	0.205576882
COQ3	-0.068309792	-0.06962553	-0.10573754
UXS1	-0.341289854	-0.342692136	-0.55546561
APEH	-0.285132872	-0.286567629	-0.178217855
GLRA4	-0.158346763	-0.159795602	0.19243213
B3GNT6	-0.077660442	-0.079109368	-0.153350367
THRSP	-0.22279521	-0.224356479	-0.105214805
ENTPD1	0.062630897	0.061068843	0.106350751
ETNK1	0.057602932	0.056024007	0.074576924
CDS1	-0.214099283	-0.215849334	-0.093022332
CA12	-0.110452176	-0.112220704	-0.015479581
ATP2C2	-0.200511897	-0.202288861	-0.08553389
NDUFB3	-0.283818371	-0.285732485	-0.549176116
NUDT16L1	-0.332214744	-0.334156682	-0.287639194
SDR16C5	0.015133188	0.013097181	0.155703833
GSTM1	-0.113106456	-0.115181927	0.086204647
IAH1	-0.088513919	-0.090598968	0.008596768
HTR3A	-0.088331911	-0.090521116	0.22762224
SLC35B3	0.23053054	0.228305719	0.216783604
SLC15A2	-0.149499163	-0.151741417	0.064334098
PIP4K2B	-0.278926913	-0.28117458	-0.005523935
SLC36A2	0.048014662	0.045624341	0.086066297
ADK	-0.278661485	-0.281061341	-0.100367043
SLC25A36	0.031101842	0.028680826	-0.058539603
KCNE4	0.014068948	0.011612323	-0.001496124
SLC35D1	-0.252472588	-0.254931242	-0.281047265
ARG1	-0.303649635	-0.30614397	0.142826949
DHRS1	-0.164426328	-0.166958023	-0.152059685
APOE	-0.047496445	-0.050057682	-0.100774863
MFSD9	-0.371965747	-0.374639933	-0.100768768
NT5DC3	-0.06083989	-0.063592676	0.129169483
CES5A	0.106737447	0.103961272	-0.026445165
ACAT1	-0.12744336	-0.130234336	0.155018154
ABCG8	-0.275324675	-0.278357739	0.003686369
GYS2	-0.06726072	-0.070346019	0.150683652
NEU4	0.214579581	0.21146129	0.115865903
KDM5C	-0.204657629	-0.207795149	-0.097534774
ATP10A	-0.267134326	-0.270360174	0.029405966
NEU1	-0.230960281	-0.234321587	-0.140865659
SUCLG2	0.055279805	0.0519134	-0.004608391
ABCB8	-0.089408791	-0.092778835	0.0792308
FPGS	-0.144772016	-0.148174361	-0.505803381
KCTD13	-0.153619616	-0.15714862	0.093370469
GALT	-0.261016842	-0.264570786	-0.001466635
ABHD13	-0.015945903	-0.01952963	-0.301439186
NKX2-3	0.0649654	0.061340618	-0.090250408
CATSPER3	-0.239314943	-0.242970282	-0.271997269
SLC25A42	-0.377463899	-0.381391859	-0.213994064
CLCN6	-0.374695864	-0.378631638	0.002833998
CHI3L1	-0.2876102	-0.291550183	-0.001812153
FOXO1	0.114571365	0.110495212	-0.181709475
RDH5	-0.699946282	-0.70418209	-0.129973926
HS3ST6	-0.417316017	-0.421648631	0.063420053
CNGA1	-0.334641514	-0.338983531	-0.129658202
SOD2	-0.209587007	-0.213952567	-0.951527515
KCNC4	-0.283211679	-0.287615098	-0.273453545
LDHAL6A	-0.090551395	-0.09499409	0.160484451
PLD2	-0.182285841	-0.186803309	0.104726113
FMO1	-0.310803552	-0.315401329	-0.375309107
GABRA4	-0.158245647	-0.162909698	0.103111078
SDSL	-0.136404715	-0.14109687	-0.089242712
CPOX	-0.458609031	-0.463618155	-0.561880961
OXNAD1	-0.185003318	-0.19007311	0.094139725
PGAM1	-0.80066989	-0.805744092	-0.880541502
AGPAT4	0.315884602	0.31080096	-0.010031684
NUDT7	-0.138553417	-0.143701386	-0.12431364
ABCC4	0.160116283	0.154897978	0.052943241
KDM3A	-0.31924669	-0.324474673	0.102033982
B3GALT6	-0.234777388	-0.240026045	-0.135275645
CACNA2D3	-0.334831106	-0.340115929	0.054591976
GRIK1	-0.191689576	-0.197009052	0.050279694
AMPD3	-0.236256201	-0.241611403	-0.025611904
KDM4B	-0.144784656	-0.150354228	0.055944248
SLC22A7	-0.170758682	-0.176342777	-0.037206479
GRIK5	-0.271608683	-0.277211185	-0.130875505
CHST9	-0.196783265	-0.202501185	0.120939878
B4GALNT1	-0.211925301	-0.217675327	-0.119915673
KDM6A	-0.200954277	-0.206846765	0.18988424
GLTP	-0.113571587	-0.11950769	-0.1489542
NIT1	-0.437753974	-0.443758714	-0.190838179
LIPN	0.086274212	0.080183732	0.013137426
ATP5MC2	-0.170430057	-0.176555102	
TNFRSF1A	0.13119727	0.125059274	0.128475383
DGKG	-0.032096565	-0.03826375	0.043207981
SLC35D3	-0.134243372	-0.140481128	0.184515242
FCSK	0.150396562	0.144111881	0.104101752
CTNS	-0.265200493	-0.271520882	0.040274743
GALNT7	0.163579486	0.15720524	0.143929769
HIF1AN	-0.074343856	-0.08079098	-0.250126508
GRIK4	-0.309236263	-0.315684429	0.020804175
INSIG2	-0.596934939	-0.603384456	0.106036919
ACADM	-0.205251683	-0.211758544	-0.043012948
NME7	-0.392011881	-0.398519389	0.133879127
SULT1A3	-0.826024584	-0.83261025	
KCNA5	-0.103199671	-0.109818604	0.134691732
PCCB	-0.070327045	-0.077004523	-0.025936489
SCLY	-0.229241318	-0.23594941	-0.089209616
NDUFB2	-0.20863905	-0.215396375	-0.399533402
CYP3A7	0.12061554	0.113811725	0.128295032
ASIC5	-0.106206591	-0.113129454	0.108267061
PLA2G4B	-0.321597624	-0.328551308	-0.005929986
SLC35A4	-0.022774987	-0.030026965	0.077272586
UGT3A1	0.236711221	0.229353188	0.009358178
GPX7	-0.203330489	-0.210824315	-0.133430551
UPP2	0.066881537	0.0593844	-0.087487765
APOA4	0.173134894	0.16558499	0.118074133
CACNG8	-0.142888741	-0.150566553	0.166004026
NME1	-0.186545328	-0.194234675	-0.160198021
SELENOS	0.005986033	-0.001714735	
ABCD4	-0.306379752	-0.314113226	-0.217753618
THEM4	-0.454463298	-0.462216812	-0.155100558
COQ9	-0.175321515	-0.183080549	-0.127867936
MFSD11	-0.000482953	-0.008301897	-0.231185746
HSD17B14	-0.113795304	-0.121625275	0.071652572
SLC35F1	-0.078643789	-0.086540735	0.017112986
OGDHL	-0.221505988	-0.229452273	-0.198526026
HNMT	-0.384478782	-0.392602606	-0.151114079
ABCD1	-0.326248934	-0.334439781	-0.192743189
HS3ST3A1	-0.223793725	-0.23205679	0.023887735
ORAI3	-0.170215186	-0.178480179	-0.224467079
BDH1	-0.081212121	-0.089487802	-0.067651666
GDPD3	-0.334616235	-0.342946926	0.022931457
RIOX1	-0.124135621	-0.132584063	
FDX1	-0.107710683	-0.116160036	-0.453423899
NDOR1	-0.944038929	-0.95271528	-1.015331599
FABP2	0.062742124	0.054032401	0.100205583
